,Fight_Id,Win/No Contest/Draw,Fighter_1,Fighter_2,KD_1,KD_2,STR_1,STR_2,TD_1,TD_2,SUB_1,SUB_2,Weight_Class,Method,Round,Fight_Time,Event_Id,f1_wins,f1_losses,f1_height,f1_weight,f1_reach,f1_stance,f1_age,f1_SLpM,f1_sig_str_acc,f1_SApM,f1_str_def,f1_td_avg,f1_td_acc,f1_td_def,f1_sub_avg,f2_wins,f2_losses,f2_height,f2_weight,f2_reach,f2_stance,f2_age,f2_SLpM,f2_sig_str_acc,f2_SApM,f2_str_def,f2_td_avg,f2_td_acc,f2_td_def,f2_sub_avg,reach_diff,age_diff,height_diff,sig_str_diff,td_def_diff,td_avg_diff,f1_win_rate,f2_win_rate,win_rate_diff
1,cdd565a16975c711,win,Mike Malott,Kevin Holland,0.0,0.0,49.0,52.0,1.0,1.0,1.0,0.0,Welterweight,U-DEC,3,300,38e5d9dcb0fddc42,10.0,2.0,185.42,77.11,185.42,Orthodox,32.0,3.83,0.46,3.33,0.52,3.04,0.6,0.16,1.0,25.0,11.0,190.5,77.11,205.74,Orthodox,31.0,4.24,0.49,3.19,0.5,0.85,0.38,0.54,0.6,-20.32000000000002,1.0,-5.0800000000000125,-0.02999999999999997,-0.38,2.19,0.8333333333333334,0.6944444444444444,0.13888888888888895
2,857d274e47aa8c4e,win,Aiemann Zahabi,Marlon Vera,0.0,1.0,81.0,56.0,0.0,0.0,0.0,0.0,Bantamweight,S-DEC,3,300,38e5d9dcb0fddc42,11.0,2.0,172.72,61.23,172.72,Orthodox,36.0,3.43,0.43,3.61,0.71,0.2,0.16,0.79,0.0,23.0,9.0,172.72,61.23,177.8,Switch,31.0,4.31,0.49,5.48,0.5,0.53,0.39,0.7,0.9,-5.0800000000000125,5.0,0.0,-0.06,0.09000000000000008,-0.33,0.8461538461538461,0.71875,0.12740384615384615
3,c82acd7b17915591,win,Manon Fiorot,Jasmine Jasudavicius,0.0,0.0,16.0,2.0,0.0,0.0,0.0,0.0,Women's Flyweight,KO/TKO Punches,1,74,38e5d9dcb0fddc42,11.0,1.0,170.18,56.7,165.1,Orthodox,34.0,6.05,0.39,3.31,0.69,1.36,0.46,0.91,0.0,10.0,3.0,170.18,56.7,172.72,Orthodox,35.0,3.95,0.45,4.03,0.51,2.16,0.37,0.8,0.4,-7.6200000000000045,-1.0,0.0,-0.06,0.10999999999999999,-0.8,0.9166666666666666,0.7692307692307693,0.14743589743589736
4,a18edcb638ba7e39,win,Charles Jourdain,Davey Grant,1.0,0.0,25.0,9.0,0.0,0.0,1.0,0.0,Bantamweight,SUB Guillotine Choke,1,185,38e5d9dcb0fddc42,15.0,7.0,175.26,65.77,175.26,Switch,28.0,5.56,0.48,4.31,0.57,0.09,0.1,0.48,0.6,15.0,7.0,172.72,61.23,175.26,Orthodox,38.0,4.77,0.42,3.82,0.55,1.26,0.41,0.61,0.2,0.0,-10.0,2.539999999999992,0.06,-0.13,-1.17,0.6818181818181818,0.6818181818181818,0.0
5,3af1bdc5a510bba9,win,Kyle Nelson,Matt Frevola,1.0,0.0,63.0,43.0,2.0,2.0,0.0,0.0,Lightweight,U-DEC,3,300,38e5d9dcb0fddc42,15.0,5.0,180.34,65.77,180.34,Switch,32.0,3.46,0.44,4.56,0.52,1.15,0.2,0.73,0.7,11.0,4.0,175.26,70.31,180.34,Orthodox,33.0,3.71,0.42,3.57,0.59,2.59,0.4,0.42,0.9,0.0,-1.0,5.0800000000000125,0.020000000000000018,0.31,-1.44,0.75,0.7333333333333333,0.01666666666666672
6,ecdbb3a5216b815e,win,Drew Dober,Kyle Prepolec,0.0,0.0,83.0,51.0,0.0,0.0,0.0,0.0,Lightweight,KO/TKO Punches,3,76,38e5d9dcb0fddc42,27.0,13.0,172.72,70.31,177.8,Southpaw,35.0,4.34,0.4,4.23,0.51,0.71,0.18,0.56,0.1,12.0,7.0,177.8,77.11,177.8,Southpaw,34.0,3.2,0.34,4.7,0.54,0.0,0.0,0.4,0.0,0.0,1.0,-5.0800000000000125,0.06,0.16000000000000003,0.71,0.675,0.631578947368421,0.04342105263157903
7,970f083af8368f57,win,Aoriqileng,Cody Gibson,1.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,Bantamweight,KO/TKO Punch,1,21,38e5d9dcb0fddc42,25.0,10.0,170.18,61.23,175.26,Orthodox,30.0,5.31,0.5,6.03,0.47,1.45,0.46,0.58,0.0,20.0,10.0,177.8,61.23,180.34,Orthodox,36.0,4.0,0.43,4.08,0.57,1.28,0.28,0.68,0.2,-5.0800000000000125,-6.0,-7.6200000000000045,0.07,-0.10000000000000009,0.16999999999999993,0.7142857142857143,0.6666666666666666,0.04761904761904767
8,668a44403a130043,win,Bruno Silva,HyunSung Park,1.0,0.0,46.0,31.0,5.0,1.0,1.0,0.0,Flyweight,SUB Rear Naked Choke,3,135,38e5d9dcb0fddc42,23.0,10.0,182.88,83.91,187.96,Orthodox,34.0,4.43,0.51,5.33,0.43,1.09,0.27,0.73,0.0,9.0,0.0,170.18,56.7,167.64,Orthodox,28.0,4.15,0.44,3.43,0.59,1.54,0.27,1.0,2.6,20.32000000000002,6.0,12.699999999999989,0.07,-0.27,-0.44999999999999996,0.696969696969697,1.0,-0.303030303030303
9,668a44403a130043,win,Bruno Silva,HyunSung Park,1.0,0.0,46.0,31.0,5.0,1.0,1.0,0.0,Flyweight,SUB Rear Naked Choke,3,135,38e5d9dcb0fddc42,13.0,5.0,162.56,56.7,165.1,Orthodox,34.0,3.05,0.46,3.09,0.59,2.57,0.3,0.64,0.3,9.0,0.0,170.18,56.7,167.64,Orthodox,28.0,4.15,0.44,3.43,0.59,1.54,0.27,1.0,2.6,-2.539999999999992,6.0,-7.6200000000000045,0.020000000000000018,-0.36,1.0299999999999998,0.7222222222222222,1.0,-0.2777777777777778
14,79865287be90e4be,win,Charles Oliveira,Mateusz Gamrot,0.0,0.0,11.0,18.0,1.0,1.0,1.0,0.0,Lightweight,SUB Rear Naked Choke,2,168,9336e86cfd4ceaa1,34.0,9.0,177.8,70.31,187.96,Orthodox,34.0,3.54,0.53,3.19,0.51,2.32,0.4,0.55,2.7,24.0,2.0,177.8,70.31,177.8,Southpaw,33.0,3.09,0.51,3.07,0.59,5.28,0.35,0.9,0.1,10.159999999999997,1.0,0.0,0.020000000000000018,-0.35,-2.9600000000000004,0.7906976744186046,0.9230769230769231,-0.13237924865831852
